2020-09-19 16:44:33
Epoch:002   iter:00433 | Loss:1.092 | Acc:0.641
Epoch:002   iter:00434 | Loss:0.968 | Acc:0.727
Epoch:002   iter:00435 | Loss:1.034 | Acc:0.648
Epoch:002   iter:00436 | Loss:0.981 | Acc:0.727
Epoch:002   iter:00437 | Loss:0.995 | Acc:0.711
Epoch:002   iter:00438 | Loss:0.936 | Acc:0.734
Epoch:002   iter:00439 | Loss:1.126 | Acc:0.602
Epoch:002   iter:00440 | Loss:0.974 | Acc:0.711
Epoch:002   iter:00441 | Loss:0.891 | Acc:0.789
Epoch:002   iter:00442 | Loss:0.954 | Acc:0.734
Epoch:002   iter:00443 | Loss:1.141 | Acc:0.664
Epoch:002   iter:00444 | Loss:0.945 | Acc:0.750
Epoch:002   iter:00445 | Loss:0.984 | Acc:0.727
Epoch:002   iter:00446 | Loss:1.124 | Acc:0.641
Epoch:002   iter:00447 | Loss:0.960 | Acc:0.703
Epoch:002   iter:00448 | Loss:0.945 | Acc:0.727
Epoch:002   iter:00449 | Loss:1.089 | Acc:0.695
